[mouse_area] RIGHT but NOT over bounds. cursor=Available(Point { x: 604.0, y: 98.0 }) bounds=Rectangle { x: 547.0, y: 85.1, width: 22.0, height: 22.0 }
[mouse_area] RIGHT PRESS CAPTURED! bounds=Rectangle { x: 595.0, y: 85.1, width: 22.0, height: 22.0 }
[mouse_area] RIGHT PRESS CAPTURED! bounds=Rectangle { x: 547.0, y: 85.1, width: 22.0, height: 22.0 }
[mouse_area] RIGHT but NOT over bounds. cursor=Available(Point { x: 667.0, y: 96.0 }) bounds=Rectangle { x: 532.6411, y: 85.1, width: 22.0, height: 22.0 }
[mouse_area] RIGHT but NOT over bounds. cursor=Available(Point { x: 667.0, y: 96.0 }) bounds=Rectangle { x: 580.6411, y: 85.1, width: 22.0, height: 22.0 }
[mouse_area] RIGHT but NOT over bounds. cursor=Available(Point { x: 667.0, y: 96.0 }) bounds=Rectangle { x: 603.6411, y: 85.1, width: 22.0, height: 22.0 }
[mouse_area] RIGHT but NOT over bounds. cursor=Available(Point { x: 667.0, y: 96.0 }) bounds=Rectangle { x: 626.6411, y: 85.1, width: 22.0, height: 22.0 }
[mouse_area] RIGHT PRESS CAPTURED! bounds=Rectangle { x: 651.6411, y: 85.1, width: 22.0, height: 22.0 }
[mouse_area] RIGHT but NOT over bounds. cursor=Available(Point { x: 645.0, y: 141.0 }) bounds=Rectangle { x: 532.6411, y: 85.1, width: 22.0, height: 22.0 }
[mouse_area] RIGHT but NOT over bounds. cursor=Available(Point { x: 645.0, y: 141.0 }) bounds=Rectangle { x: 580.6411, y: 85.1, width: 22.0, height: 22.0 }
[mouse_area] RIGHT but NOT over bounds. cursor=Available(Point { x: 645.0, y: 141.0 }) bounds=Rectangle { x: 603.6411, y: 85.1, width: 22.0, height: 22.0 }
[mouse_area] RIGHT but NOT over bounds. cursor=Available(Point { x: 645.0, y: 141.0 }) bounds=Rectangle { x: 626.6411, y: 85.1, width: 22.0, height: 22.0 }
[mouse_area] RIGHT but NOT over bounds. cursor=Available(Point { x: 645.0, y: 141.0 }) bounds=Rectangle { x: 651.6411, y: 85.1, width: 22.0, height: 22.0 }
[mouse_area] RIGHT but NOT over bounds. cursor=Available(Point { x: 645.0, y: 141.0 }) bounds=Rectangle { x: 674.6411, y: 85.1, width: 22.0, height: 22.0 }
[mouse_area] RIGHT but NOT over bounds. cursor=Available(Point { x: 645.0, y: 141.0 }) bounds=Rectangle { x: 699.6411, y: 85.1, width: 22.0, height: 22.0 }
[mouse_area] RIGHT but NOT over bounds. cursor=Available(Point { x: 645.0, y: 141.0 }) bounds=Rectangle { x: 722.6411, y: 85.1, width: 22.0, height: 22.0 }
[mouse_area] RIGHT but NOT over bounds. cursor=Available(Point { x: 645.0, y: 141.0 }) bounds=Rectangle { x: 745.6411, y: 85.1, width: 22.0, height: 22.0 }
[mouse_area] RIGHT but NOT over bounds. cursor=Available(Point { x: 645.0, y: 141.0 }) bounds=Rectangle { x: 770.6411, y: 85.1, width: 22.0, height: 22.0 }
[mouse_area] RIGHT but NOT over bounds. cursor=Available(Point { x: 645.0, y: 141.0 }) bounds=Rectangle { x: 793.6411, y: 85.1, width: 22.0, height: 22.0 }
[mouse_area] RIGHT but NOT over bounds. cursor=Available(Point { x: 645.0, y: 141.0 }) bounds=Rectangle { x: 816.6411, y: 85.1, width: 22.0, height: 22.0 }
[mouse_area] RIGHT but NOT over bounds. cursor=Available(Point { x: 663.0, y: 142.0 }) bounds=Rectangle { x: 532.6411, y: 85.1, width: 22.0, height: 22.0 }
[mouse_area] RIGHT but NOT over bounds. cursor=Available(Point { x: 663.0, y: 142.0 }) bounds=Rectangle { x: 580.6411, y: 85.1, width: 22.0, height: 22.0 }
[mouse_area] RIGHT but NOT over bounds. cursor=Available(Point { x: 663.0, y: 142.0 }) bounds=Rectangle { x: 603.6411, y: 85.1, width: 22.0, height: 22.0 }
[mouse_area] RIGHT but NOT over bounds. cursor=Available(Point { x: 663.0, y: 142.0 }) bounds=Rectangle { x: 626.6411, y: 85.1, width: 22.0, height: 22.0 }
[mouse_area] RIGHT but NOT over bounds. cursor=Available(Point { x: 663.0, y: 142.0 }) bounds=Rectangle { x: 651.6411, y: 85.1, width: 22.0, height: 22.0 }
[mouse_area] RIGHT but NOT over bounds. cursor=Available(Point { x: 663.0, y: 142.0 }) bounds=Rectangle { x: 674.6411, y: 85.1, width: 22.0, height: 22.0 }
[mouse_area] RIGHT but NOT over bounds. cursor=Available(Point { x: 663.0, y: 142.0 }) bounds=Rectangle { x: 699.6411, y: 85.1, width: 22.0, height: 22.0 }
[mouse_area] RIGHT but NOT over bounds. cursor=Available(Point { x: 663.0, y: 142.0 }) bounds=Rectangle { x: 722.6411, y: 85.1, width: 22.0, height: 22.0 }
[mouse_area] RIGHT but NOT over bounds. cursor=Available(Point { x: 663.0, y: 142.0 }) bounds=Rectangle { x: 745.6411, y: 85.1, width: 22.0, height: 22.0 }
[mouse_area] RIGHT but NOT over bounds. cursor=Available(Point { x: 663.0, y: 142.0 }) bounds=Rectangle { x: 770.6411, y: 85.1, width: 22.0, height: 22.0 }
[mouse_area] RIGHT but NOT over bounds. cursor=Available(Point { x: 663.0, y: 142.0 }) bounds=Rectangle { x: 793.6411, y: 85.1, width: 22.0, height: 22.0 }
[mouse_area] RIGHT but NOT over bounds. cursor=Available(Point { x: 663.0, y: 142.0 }) bounds=Rectangle { x: 816.6411, y: 85.1, width: 22.0, height: 22.0 }
[mouse_area] RIGHT but NOT over bounds. cursor=Available(Point { x: 685.0, y: 142.0 }) bounds=Rectangle { x: 547.0, y: 85.1, width: 22.0, height: 22.0 }
[mouse_area] RIGHT but NOT over bounds. cursor=Available(Point { x: 685.0, y: 142.0 }) bounds=Rectangle { x: 595.0, y: 85.1, width: 22.0, height: 22.0 }
[mouse_area] RIGHT but NOT over bounds. cursor=Available(Point { x: 685.0, y: 142.0 }) bounds=Rectangle { x: 618.0, y: 85.1, width: 22.0, height: 22.0 }
[mouse_area] RIGHT but NOT over bounds. cursor=Available(Point { x: 685.0, y: 142.0 }) bounds=Rectangle { x: 641.0, y: 85.1, width: 22.0, height: 22.0 }
[mouse_area] RIGHT but NOT over bounds. cursor=Available(Point { x: 685.0, y: 142.0 }) bounds=Rectangle { x: 666.0, y: 85.1, width: 22.0, height: 22.0 }
[mouse_area] RIGHT but NOT over bounds. cursor=Available(Point { x: 685.0, y: 142.0 }) bounds=Rectangle { x: 689.0, y: 85.1, width: 22.0, height: 22.0 }
[mouse_area] RIGHT but NOT over bounds. cursor=Available(Point { x: 685.0, y: 142.0 }) bounds=Rectangle { x: 714.0, y: 85.1, width: 22.0, height: 22.0 }
[mouse_area] RIGHT but NOT over bounds. cursor=Available(Point { x: 685.0, y: 142.0 }) bounds=Rectangle { x: 737.0, y: 85.1, width: 22.0, height: 22.0 }
[mouse_area] RIGHT but NOT over bounds. cursor=Available(Point { x: 685.0, y: 142.0 }) bounds=Rectangle { x: 760.0, y: 85.1, width: 22.0, height: 22.0 }
[mouse_area] RIGHT but NOT over bounds. cursor=Available(Point { x: 685.0, y: 142.0 }) bounds=Rectangle { x: 785.0, y: 85.1, width: 22.0, height: 22.0 }
